"","Year","State_SF","Biomass","Coal","Hydroelectric","Natural_Gas","Nuclear","Oil","Other","Solar","Wind"
"101",2010,"AR",1612442,28152445,3664216,12465058,15022678,42149,28032,0,0
"102",2010,"FL",5628995,59897434,177474,128630749,23935794,9081722,1603575,80440,0
"103",2010,"GA",3178086,73295851,3732002,23873430,33512033,598155,14120,0,0
"104",2010,"KY",438725,94816103,2852661,1838964,0,2276440,15457,0,0
"105",2010,"LA",2466770,23923749,1108794,52905226,18639347,3271496,558903,0,0
"106",2010,"MS",1502733,13625542,0,29607778,9643241,80563,8185,0,0
"107",2010,"NC",2068359,71947503,5147248,8446840,40739529,268491,407440,0,0
"108",2010,"SC",1873065,37671118,2366075,10919067,51988079,171421,61164,0,0
"109",2010,"TN",943647,43670197,7739115,2300300,27739221,206590,0,0,40570
"110",2010,"VA",2607598,25459219,1489906,16995074,26571899,1243387,20262,0,0
"111",2011,"AL",2809802,56807352,8759945,47962249,39356122,107840,381040,0,0
"112",2011,"AR",1663935,29418196,2996630,12944151,14194445,44590,32003,0,0
"113",2011,"FL",6004670,51844755,182042,136337717,22015368,3241377,1919092,122879,0
"114",2011,"GA",3155720,60157607,2813672,26271924,32306181,527827,22019,0,0
"115",2011,"KY",434898,95164584,3211394,1542954,0,1731061,8955,0,0
"116",2011,"LA",2441511,24627520,1044019,55609169,16614975,4705216,439165,0,0
"117",2011,"MS",1505732,9508902,0,29812566,10336789,25759,0,0,0
"118",2011,"NC",2323679,59757144,4177116,11152993,40526834,187969,483992,0,0
"119",2011,"SC",2129168,34168547,1542863,12929159,52902576,91222,60336,0,0
"120",2011,"TN",966633,40777222,9273259,3268151,26919177,186875,0,0,53143
"121",2011,"VA",2646885,19748250,1202632,18328773,25547997,470212,0,0,0
"122",2012,"AL",2773595,45605393,7333058,55877175,40841212,105638,226529,0,0
"123",2012,"AR",1659744,28430930,2244032,17111972,15493131,24582,30017,0,0
"124",2012,"FL",5738419,44284811,150511,149705455,17869935,1343926,1777820,190093,0
"125",2012,"GA",3241585,40730374,2324769,42271058,33941634,367369,53533,0,0
"126",2012,"KY",332762,85994155,2623109,2945088,0,1545177,8075,0,0
"127",2012,"LA",2428803,21421429,679944,59760174,15659132,3024312,357320,0,0
"128",2012,"MS",1506280,7211973,0,38536729,7296134,7411,0,0,0
"129",2012,"NC",2560914,50932297,4029941,19294350,39385592,150644,451865,86393,0
"130",2012,"SC",2142578,28392835,1414578,14325572,51145302,91576,106246,0,0
"131",2012,"TN",776782,35418397,7969516,8089601,25102101,138324,0,0,47492
"132",2012,"VA",2742354,14180540,1032622,25036086,28723390,324161,0,0,0
"133",2013,"AL",2875163,47046467,12707781,46844510,40816135,60450,0,0,0
"134",2013,"AR",1600813,31889234,2689865,12130601,11945257,35989,20553,0,0
"135",2013,"FL",5815146,46340674,254214,138959517,26525855,2526403,1714048,200844,0
"136",2013,"GA",3821269,40231881,4029755,40312304,32902781,289082,86131,6195,0
"137",2013,"KY",326681,85827229,3595215,1417025,0,1412267,8585,0,0
"138",2013,"LA",2785216,20843714,1044561,54709152,16954394,4941718,678751,0,0
"139",2013,"MS",1448033,8701295,0,31755892,10864509,5603,4817,0,0
"140",2013,"NC",2608514,47071350,7446086,27979935,40241737,200572,566885,237251,0
"141",2013,"SC",2224287,24410406,3152986,11829856,54251968,88213,62007,0,0
"142",2013,"TN",1043051,32501047,11892113,5021135,28493814,128863,0,18397,46745
"143",2013,"VA",3377426,21157949,1242941,22646885,29326231,270578,0,0,0
"144",2014,"AL",2705558,47286775,9328242,48438252,41243689,81808,0,0,0
"145",2014,"AR",1530216,33220755,2704825,9606279,14478259,23708,11910,0,0
"146",2014,"FL",6089960,52052402,211388,139993769,27868270,1839736,1629190,219795,0
"147",2014,"GA",4160978,45284001,3194979,40943661,32570182,325980,62229,111216,0
"148",2014,"KY",447990,85142954,3347307,2491689,0,1146565,46834,0,0
"149",2014,"LA",2778510,19221019,1090038,58016477,17311330,5225061,531174,0,0
"150",2014,"MS",1507058,10742566,0,32604908,10252183,8194,0,0,0
"151",2014,"NC",2544769,49235111,5233638,28733696,40967020,440018,631153,595413,0
"152",2014,"SC",2433574,28914489,2560029,11395425,52418553,232742,46265,4785,0
"153",2014,"TN",1062376,35878466,8484915,6202271,27670006,185886,13407,19745,51140
"154",2014,"VA",4345717,20815017,939375,20877356,30220977,1157206,0,0,0
"155",2015,"AL",3289284,41410200,9661331,55760296,41951382,61537,0,0,0
"156",2015,"AR",1436746,21740033,3585308,14470951,13837794,60038,11604,0,0
