Plant Id,Plant Name,Entity Id,Entity Name,County,State,Latitude,Longitude
59173,Bethel Solar,58981,Bethel Solar LLC,Pitt,NC,35.75,-77.385
59174,Lewiston Solar,58980,Lewiston Solar LLC,Bertie,NC,36.141111,-77.21111
59175,Woodland Solar,58982,Woodland Solar LLC,Northampton,NC,36.341944,-77.22111
59176,Williamston Solar,58983,Williamston Solar LLC,Martin,NC,35.801111,-77.06306
59177,Winton Solar,58984,Winton Solar LLC,Hertford,NC,36.375,-76.93889
59178,Franklin 1,58440,CD US Solar MT 2 LLC,Norfolk,MA,42.040556,-71.39361
59179,Franklin 2,58440,CD US Solar MT 2 LLC,Norfolk,MA,42.054167,-71.39167
59180,Marion Solar LNG,58985,Marion Solar LLC,Marion,IN,39.913056,-86.23806
59181,AgriReNew,58986,AgriReNew,Scott,IA,41.691944,-90.86639
59182,Hesperia,59139,SunEdison LLC,San Bernardino,CA,34.435,-117.3781
59183,"CID Solar, LLC",58468,Dominion Renewable Energy,Kings,CA,36.138056,-119.5647
59184,Mulberry Farm LLC,58468,Dominion Renewable Energy,McNairy,TN,35.131944,-88.58667
59185,Jacobstown,56990,NJR Clean Energy Ventures Corporation,Burlington,NJ,40.063743,-74.58243
59186,West Pemberton,56990,NJR Clean Energy Ventures Corporation,Burlington,NJ,40.006667,-74.73028
59187,Beethoven Wind,13809,NorthWestern Energy - (SD),Bon Homme,SD,43.16,-98.08
59188,Selmer Farm LLC,58468,Dominion Renewable Energy,McNairy,TN,35.149722,-88.55528
59189,East Wayne Solar LLC,58993,East Wayne Solar LLC,Wayne,NC,35.441667,-77.85
59190,Vickers,58995,Vickers Farm LLC,Chatham,NC,35.823333,-79.08028
59191,Soluga Farms 1,58996,Soluga Farms 1 LLC,Sampson,NC,35.243056,-78.38694
59192,Soluga Farms 2 LLC,58997,Soluga Farms 2 LLC,Bladen,NC,34.5,-78.68917
59193,Chapman Ranch Wind I,58998,Chapman Ranch Wind LLC,Nueces,TX,27.5925,-97.50083
59194,Portable Generator 2,12199,Montana-Dakota Utilities Co,Williams,ND,48.145,-103.6375
59195,Portable Generator 3,12199,Montana-Dakota Utilities Co,Williams,ND,48.145,-103.6375
59196,Portable Generator 1,12199,Montana-Dakota Utilities Co,,,47.833333,-103.6436
59197,Univ Minnesota CHP Plant,57341,Veolia Energy,Hennepin,MN,44.978611,-93.24083
59198,Sterling PV 3,59076,Fresh Air Energy VII LLC,Logan,CO,40.6316,-103.1947
59199,Mesa PV1,59078,Fresh Air Energy VIII LLC,Mesa,CO,39.0672,-108.5091
592,Delaware City 10,56609,Calpine Mid-Atlantic Generation LLC,New Castle,DE,39.600408,-75.62681
59200,Border Winds Wind Farm,13781,Northern States Power Co - Minnesota,Rolette,ND,48.964722,-99.61389
59201,Pleasant Valley Wind Farm,13781,Northern States Power Co - Minnesota,Mower,MN,43.805,-92.76972
59203,Farmersville,58593,Sequoia PV 1 LLC,Tulare,CA,36.19,-119.12
59204,OCI Alamo 3 LLC,56769,Consolidated Edison Development Inc.,Bexar,TX,29.479167,-98.29722
59205,OCI Alamo 5 LLC,56769,Consolidated Edison Development Inc.,Uvalde,TX,29.216667,-99.71611
59206,Alamo 6,59359,"BHE Renewables, LLC",Pecos,TX,30.993056,-102.2708
59207,OCI Alamo 7 LLC,56769,Consolidated Edison Development Inc.,Haskell,TX,33.04,-99.5525
59213,Clipperton Holdings,61176,Dominion Renewable Energy - Clipperton,Sampson,NC,34.966944,-78.35444
59217,Tiburon Holdings,59462,"Heelstone Energy Holdings, LLC",Davie,NC,35.903333,-80.41694
59219,Porterville 6 and 7,59004,Sequoia PV 3 LLC,Tulare,CA,36.05,-119.02
59220,Wildcat Point Generation Facility,40229,Old Dominion Electric Coop,Cecil,MD,39.719364,-76.16163
59221,Pecan Row Landfill To Electric Facility,55858,EDL Inc,Lowndes,GA,30.815,-83.3625
59222,Passadumkeag Windpark LLC,17650,Southern Power Co,Penobscot,ME,45.07,-68.21
59223,Optimum Wind 5 LLC,59017,Optimum Wind 5 LLC,Story,IA,42.014,-93.51806
59224,Optimum Wind 6 LLC,59018,Optimum Wind 6 LLC,Story,IA,42.006944,-93.52361
